region,beta_0,beta_s,beta_c,sigma_00,sigma_0s,sigma_0c,sigma_ss,sigma_sc,sigma_cc,psi,var_psi,peak_T,sigma_peak_T,peak_T_CI_lower,peak_T_CI_upper,gamma,var_gamma,theta
Region 1,0.6828668701420052,-0.8080761744215567,-4.524837325924078,0.08444836576059916,0.015618461342964761,0.08745208168551374,0.008512794810950986,0.015287725208453295,0.0913826899632838,0.17672374299309843,0.00027369966346253765,192.89818851386923,0.9617174316757707,191.01325698448036,194.7831200432581,4.596426865484051,0.08352978346595236,99.12947911676083
Region 2,0.2638563753159499,-0.7557557750527705,-4.7312016222557745,0.08053750811691002,0.01334075192087897,0.08350469329087291,0.007333205232061805,0.013105496714019517,0.08727160923938554,0.15840042845753372,0.0002282450491314086,191.8330296323593,0.878235603333939,190.111719479884,193.55433978483464,4.791183108790697,0.08119988592291284,120.4437824989323
Region 3,1.6982438696055802,-0.6605489788848637,-3.908205846377474,0.03079101883971669,0.005437467994699978,0.03216817082298492,0.003443835857025615,0.00531835733004217,0.034008370302708237,0.16743355607366486,0.00016198573580906346,192.35813747185304,0.739858627936935,190.90804120744542,193.80823373626066,3.9636344295564023,0.031411656894061925,52.64832528154412
Region 4,3.508531561852388,-0.5309677322221428,-2.236791734727912,0.002445815123590909,0.0006175077519596563,0.002601237744875427,0.0005792199267106767,0.0005811640893171324,0.0028893982912763278,0.2330654051299496,8.348982211385455e-05,196.17340499872606,0.5311621548605092,195.13234630524877,197.21446369220334,2.298948454665356,0.0025049718768505366,9.963699662319184
Region 5,1.9242379292873297,-0.29109035584299425,-3.4386986403162503,0.030310579256984868,0.002730202221031806,0.0322378660756335,0.0032363969681948436,0.0026899511745237096,0.0347711738949977,0.08444997881061318,0.0002526232642049437,187.53419068156887,0.9239469315033341,185.72328797219603,189.3450933909417,3.4509972376369165,0.03409463276617198,31.53182135404464
Region 6,3.7289004213738335,-0.6315738269422718,-2.405953465710136,0.003787285835839466,0.0010462859480129098,0.003985752853862775,0.0008618022838226354,0.0009853900612951923,0.00435690528073681,0.25671262409701867,9.747575691862443e-05,197.548049594653,0.5739296536946664,196.42316814375192,198.6729310455541,2.4874681059344503,0.0036476008113676154,12.0307768737362
Region 7,3.05668714194941,-0.5687917297171882,-3.078786953382786,0.016355865801965252,0.0031894252663963387,0.017262337028844315,0.002426695403092893,0.0030914941443847977,0.018587802576074803,0.1826855811412124,0.00018928981369151262,193.24475817195497,0.7997863323290514,191.67720576526264,194.8123105786473,3.130886956776742,0.01694983658275835,22.89427677365979
Region 8,1.8003970204021096,-0.7198869867576542,-3.534914551879474,0.01177642096815076,0.00250231795075589,0.012287250648346387,0.0015954628101202328,0.00242732193056376,0.013020129074045986,0.20090314410066654,8.461248495123875e-05,194.303769572325,0.5347214195788181,193.25573484818838,195.3518042964616,3.6074725449810807,0.011615896050937066,36.87274074980292
Region 9,3.4713729098239954,-0.7944952792793075,-2.775980328354467,0.006255070387436765,0.0018560757568298807,0.0064851351841573625,0.0012982769960215958,0.0017529735439897345,0.006921463571686901,0.2787518907800452,9.554278285537186e-05,198.829221764886,0.5682105586141255,197.71554953436694,199.94289399540506,2.8874364983853895,0.005568282661087007,17.947242794728876
Region 10,1.1358933299992984,-0.9732723323015915,-4.371933790479167,0.1502675238746685,0.03439172986931685,0.15448243397997477,0.0180557552234008,0.033367253708208526,0.1605079967745839,0.21904632341900693,0.0005297502420451778,195.35845695174248,1.3379686517761284,192.73608658181766,197.9808273216673,4.47895792580789,0.1396267521471103,88.14277349160716
