region,beta_0,beta_s,beta_c,sigma_00,sigma_0s,sigma_0c,sigma_ss,sigma_sc,sigma_cc,psi,var_psi,peak_T,sigma_peak_T,peak_T_CI_lower,peak_T_CI_upper,gamma,var_gamma,theta
Region 1,0.708292866038592,-0.8117510644210613,-4.501966105255288,0.08884447252384402,0.016333179539673746,0.09202438923383913,0.008852488278859235,0.01598962890534879,0.09617336182849782,0.17839352794635077,0.00028754884312617466,192.9952553556634,0.9857485991860999,191.06322360344782,194.92728710787898,4.574564307500355,0.0878391699641941,96.98577395600583
Region 2,0.18718560958883274,-0.765336895231489,-4.802150737575236,0.0891102370958172,0.014527375835812135,0.09235518660344225,0.007856580426690208,0.014279354895059439,0.09644517805109633,0.15804460963130443,0.00023733971426480104,191.8123454061386,0.895561806753811,190.0570765189715,193.5676142933057,4.862755625115964,0.08981200092289461,129.38023476023915
Region 3,1.7260903631911684,-0.6629170896574081,-3.8835129628694784,0.03244106996291057,0.005651107048808688,0.033905414379338916,0.0035674706537205413,0.00552729622685385,0.03585381054980724,0.16907077361162798,0.000170607302735739,192.4533111260596,0.7592925954694433,190.96512498521153,193.94149726690765,3.9396867896490355,0.033106073565398755,51.40249898420519
Region 4,3.5169921413384735,-0.5360162879486315,-2.2291038482047507,0.0026561802815472215,0.0006410862457559582,0.002828344168339419,0.000603865567671751,0.0006024475784059471,0.0031396760210933693,0.2359824169608125,8.914814770749597e-05,196.34297481389692,0.5488662393429348,195.26721675245483,197.418732875339,2.2926441998329046,0.0027271693884404445,9.901083541946159
Region 5,1.9081610774329283,-0.2847075021271832,-3.468004801118779,0.03305149526245152,0.002752140438177252,0.035145999559704,0.003391557703194214,0.002708254003850607,0.03787549641987534,0.08191178537368222,0.0002626930768480571,187.38664208837687,0.9421817113322065,185.53999986727342,189.23328430948033,3.4796717750889092,0.037202948107346284,32.4490697347489
Region 6,3.7303762591507557,-0.6360225051916477,-2.4157412846367388,0.0041661770358807524,0.001099464869998086,0.004390631066629217,0.0008997231203962164,0.0010362591179485742,0.0047954832850937434,0.2574402852450356,0.00010287544051178171,197.59034951441018,0.5896118592425055,196.43473150543716,198.7459675233832,2.4980653677213134,0.00403265761353863,12.158948098288878
Region 7,3.0927898008287333,-0.5727152835814149,-3.0526728133331114,0.01739379300116155,0.0033121762186504905,0.018369458428596733,0.0025210276026985112,0.0032082625518166093,0.019785448254590783,0.18545526802438023,0.00020163729302823696,193.40576379006416,0.8254595292329852,191.78789284207213,195.0236347380562,3.105932082533492,0.018035557739641276,22.330022702507776
Region 8,1.7690456810957491,-0.7110856596944932,-3.56753932099573,0.013173162285125667,0.0026667677727252614,0.013758198706703403,0.0016913535443613956,0.0025912215958433394,0.014580000448925743,0.19674263176924375,8.995251217294751e-05,194.06191340307979,0.5513368296707977,192.98131307357454,195.14251373258503,3.6377162646740095,0.013094015495536897,38.004944309642305
Region 9,3.3815788198783108,-0.8000464603798777,-2.8065183592975274,0.006962415061896051,0.001982576835309101,0.007228757163769061,0.0013631118720825145,0.0018769392654409594,0.007710260968987285,0.27770135056651557,9.985825594774392e-05,198.76815245143553,0.5809012949415097,197.6296068347775,199.90669806809356,2.918324800264778,0.0062435522891020065,18.510253101535586
Region 10,1.113251162230903,-0.9757725529351051,-4.398308702046546,0.16360538250584689,0.03671798145171045,0.16825953635678298,0.019041447744015734,0.03566320565000853,0.17481769608879397,0.21831589519783687,0.000555110554502595,195.31599617830685,1.369620029778959,192.6315902474354,198.00040210917828,4.505247109045171,0.1524287233608454,90.49070235734159
