calculationType,calculationTypeId,category,categoryId,categoryName,confidenceIntervalDisplay,confidenceIntervalHigh,confidenceIntervalHighName,confidenceIntervalLow,confidenceIntervalLowName,confidenceIntervalName,dailyMax,dailyMaxDisplay,dailyMin,dailyMinDisplay,dataValue,descriptiveValue,descriptiveValueName,displayValue,geo,geoAbbreviation,geoId,geographicTypeId,groupById,hatching,hatchingId,hottestTemp,hottestTempDescription,id,includeDescriptiveValueName,minimumTemporal,minimumTemporalId,noDataBreakGroup,noDataId,parentGeo,parentGeoAbbreviation,parentGeoId,parentGeographicTypeId,parentMinimumTemporal,parentMinimumTemporalId,parentTemporal,parentTemporalId,parentTemporalType,parentTemporalTypeId,reportDate,reportDateString,rollover,secondaryValue,secondaryValueDisplay,secondaryValueName,standardError,standardErrorDisplay,standardErrorName,suppressionFlag,temporal,temporalColumnName,temporalDescription,temporalId,temporalRollingColumnName,temporalTypeId,title,yearlyMax,yearlyMaxDisplay
Temperature,,,0,,,,,,,,84.3,84.3°F,0.0,,84.3,,,84.3°F,Autauga,CountyAbbreviation,01001,2,1,,-1,True,Hottest Heat Index for Date (1979-2021),585120384,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-01,01/01/2022,"['Report Date: 01/01/2022', 'Temperature: 84.3°F', 'Maximum Heat Index for Date (1979-2021): 84.3°F', 'Hottest Heat Index for Date (1979-2021)']",,,,,,,0,20220101,ReportDate,Date,20220101,RollingCount,10,"Autauga, AL",84.3,84.3°F
Temperature,,,0,,,,,,,,71.2,71.2°F,0.0,,71.2,,,71.2°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),536389508,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-02,01/02/2022,"['Report Date: 01/02/2022', 'Temperature: 71.2°F', 'Maximum Heat Index for Date (1979-2021): 78.1°F']",,,,,,,0,20220102,ReportDate,Date,20220102,RollingCount,10,"Autauga, AL",78.1,78.1°F
Temperature,,,0,,,,,,,,43.6,43.6°F,0.0,,43.6,,,43.6°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),527692112,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-03,01/03/2022,"['Report Date: 01/03/2022', 'Temperature: 43.6°F', 'Maximum Heat Index for Date (1979-2021): 77.6°F']",,,,,,,0,20220103,ReportDate,Date,20220103,RollingCount,10,"Autauga, AL",77.6,77.6°F
Temperature,,,0,,,,,,,,48.4,48.4°F,0.0,,48.4,,,48.4°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),519776882,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-04,01/04/2022,"['Report Date: 01/04/2022', 'Temperature: 48.4°F', 'Maximum Heat Index for Date (1979-2021): 77.9°F']",,,,,,,0,20220104,ReportDate,Date,20220104,RollingCount,10,"Autauga, AL",77.9,77.9°F
Temperature,,,0,,,,,,,,54.6,54.6°F,0.0,,54.6,,,54.6°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),558510892,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-05,01/05/2022,"['Report Date: 01/05/2022', 'Temperature: 54.6°F', 'Maximum Heat Index for Date (1979-2021): 73.9°F']",,,,,,,0,20220105,ReportDate,Date,20220105,RollingCount,10,"Autauga, AL",73.9,73.9°F
Temperature,,,0,,,,,,,,63.3,63.3°F,0.0,,63.3,,,63.3°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),567863983,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-06,01/06/2022,"['Report Date: 01/06/2022', 'Temperature: 63.3°F', 'Maximum Heat Index for Date (1979-2021): 74.8°F']",,,,,,,0,20220106,ReportDate,Date,20220106,RollingCount,10,"Autauga, AL",74.8,74.8°F
Temperature,,,0,,,,,,,,42.6,42.6°F,0.0,,42.6,,,42.6°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),525793108,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-07,01/07/2022,"['Report Date: 01/07/2022', 'Temperature: 42.6°F', 'Maximum Heat Index for Date (1979-2021): 77.8°F']",,,,,,,0,20220107,ReportDate,Date,20220107,RollingCount,10,"Autauga, AL",77.8,77.8°F
Temperature,,,0,,,,,,,,54.9,54.9°F,0.0,,54.9,,,54.9°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),518264436,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-08,01/08/2022,"['Report Date: 01/08/2022', 'Temperature: 54.9°F', 'Maximum Heat Index for Date (1979-2021): 75.1°F']",,,,,,,0,20220108,ReportDate,Date,20220108,RollingCount,10,"Autauga, AL",75.1,75.1°F
Temperature,,,0,,,,,,,,73.4,73.4°F,0.0,,73.4,,,73.4°F,Autauga,CountyAbbreviation,01001,2,1,,-1,True,Hottest Heat Index for Date (1979-2021),594814176,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-09,01/09/2022,"['Report Date: 01/09/2022', 'Temperature: 73.4°F', 'Maximum Heat Index for Date (1979-2021): 73.4°F', 'Hottest Heat Index for Date (1979-2021)']",,,,,,,0,20220109,ReportDate,Date,20220109,RollingCount,10,"Autauga, AL",73.4,73.4°F
Temperature,,,0,,,,,,,,53.4,53.4°F,0.0,,53.4,,,53.4°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),570602726,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-10,01/10/2022,"['Report Date: 01/10/2022', 'Temperature: 53.4°F', 'Maximum Heat Index for Date (1979-2021): 76.8°F']",,,,,,,0,20220110,ReportDate,Date,20220110,RollingCount,10,"Autauga, AL",76.8,76.8°F
Temperature,,,0,,,,,,,,46.2,46.2°F,0.0,,46.2,,,46.2°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),557488590,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-01-11,01/11/2022,"['Report Date: 01/11/2022', 'Temperature: 46.2°F', 'Maximum Heat Index for Date (1979-2021): 77.6°F']",,,,,,,0,20220111,ReportDate,Date,20220111,RollingCount,10,"Autauga, AL",77.6,77.6°F
