region,beta_0,beta_s,beta_c,sigma_00,sigma_0s,sigma_0c,sigma_ss,sigma_sc,sigma_cc,psi,var_psi,peak_T,sigma_peak_T,peak_T_CI_lower,peak_T_CI_upper,gamma,var_gamma,theta
Region 1,13.764436330034721,-5.7134870712765995,-12.611465661145262,0.009851042453847611,-2.899818229306054e-08,2.697681777162036e-06,0.019699387634161295,-5.800600436657395e-08,0.019704781993755572,0.4253783690365102,0.00010277031397624987,207.3528158600622,0.5893105254406766,206.19778845448812,208.5078432656363,13.845324143402744,0.019703906980981234,1030262.4601266282
Region 2,14.529560801931018,-5.468688159331875,-13.557571411054859,0.010660286833981873,-3.137522193839521e-08,2.919298037503641e-06,0.021317654709705074,-6.27868287913579e-08,0.021323492344686678,0.38340630290238875,9.975240729628057e-05,204.91292328869872,0.5805933388250609,203.77498125493773,206.0508653224597,14.618970304021714,0.021322719007429117,2233254.0700072064
Region 3,17.27721425933133,-4.781346803362026,-13.042305412502868,0.011558511585116085,-3.402756025705847e-08,3.1652726111707863e-06,0.02311385821910113,-6.807600667597777e-08,0.023120187847119517,0.3513885708407683,0.00011978799664121153,203.05168952528513,0.6362341952352086,201.8046934168913,204.29868563367896,13.891112544610019,0.023119481945131734,1078533.2180944192
Region 4,25.005752100134906,-3.5126655019051944,-10.65731047509785,0.008422278848467028,-2.4797533505661906e-08,2.306413997785194e-06,0.016842251373407863,-4.959160502448509e-08,0.016846863895634147,0.31838815126770464,0.0001337605042537059,201.13333081711707,0.6723173283058881,199.81561306745533,202.4510485667788,11.221278246746456,0.016846441394615674,74703.2028778906
Region 5,15.31275997413198,-5.500234987580687,-15.416347862568742,0.011466174116858385,-3.37544537574988e-08,3.1399816969921755e-06,0.02292920895410145,-6.751994534388402e-08,0.02293548782196195,0.3427015409242024,8.55862633698733e-05,202.54670080986395,0.5377895873227873,201.49265258745064,203.60074903227726,16.36815097493711,0.02293482156377189,12840964.560477307
Region 6,25.78990281352896,-3.2426693983079335,-12.13859543480527,0.010692664978879503,-3.1490637121875925e-08,2.928161032076673e-06,0.021382402273994346,-6.295058136497074e-08,0.02138825779654888,0.2610415581229082,0.0001354540034136914,197.7996963431819,0.6765599397808286,196.4736632278289,199.1257294585349,12.564251030467277,0.02138789915937081,286144.1633521091
Region 7,18.37578853958621,-5.243565338705945,-15.954592590035137,0.014420268512573244,-4.241896123226819e-08,3.9489516307741965e-06,0.0288365885286372,-8.496094674851013e-08,0.028844485167516695,0.3175346544040856,0.00010224436084239841,201.08371589821908,0.5878006181277952,199.93164785659823,202.23578393983993,16.79416571834643,0.02884376576763768,19661357.48460093
Region 8,13.214735462860492,-5.142578578963543,-13.839057102654225,0.007189321547863351,-2.1169117069835557e-08,1.9687797231829197e-06,0.014376674565363907,-4.23427081286979e-08,0.014380611720388453,0.35578556655240207,6.596077026199561e-05,203.30729279101072,0.4721208882139075,202.3819528537624,204.23263272825903,14.763658622825815,0.0143801616699386,2580925.5240613306
Region 9,20.661954219664185,-4.4037184044212605,-9.554747507549981,0.00547620629142605,-1.6126070929466598e-08,1.4996459246139834e-06,0.010950913090016463,-3.225091347503972e-08,0.010953912047674631,0.43187571929273777,9.894177585760521e-05,207.73051555616627,0.5782294495602553,206.59720666022776,208.86382445210478,10.52073836374953,0.010953411135003662,37076.49032421433
Region 10,14.213572474586885,-4.2709444607228555,-10.500782531151687,0.006393538831374793,-1.8825131673761585e-08,1.75085188526336e-06,0.012785326999117058,-3.767342456900706e-08,0.012788828419460913,0.38629143181703185,9.949505062133244e-05,205.0806397071321,0.5798439029283473,203.9441665407374,206.2171128735268,11.336110459638247,0.01278835770636324,83793.47836526687
