"","split","formula","mse"
"1",0.3,"Model 1",18723.6448322351
"2",0.3,"Model 2",18734.6671860713
"3",0.3,"Model 3",12404.4014716466
"4",0.3,"Model 4",12131.3523191136
"5",0.3,"Model 5",12095.9047517765
"6",0.3,"Model 6",11951.1335111822
"7",0.4,"Model 1",20414.8726711031
"8",0.4,"Model 2",20459.6298876291
"9",0.4,"Model 3",14107.9035741178
"10",0.4,"Model 4",13661.5831374373
"11",0.4,"Model 5",13866.6690619414
"12",0.4,"Model 6",13648.6534299978
"13",0.5,"Model 1",16458.6412511097
"14",0.5,"Model 2",16515.4129130879
"15",0.5,"Model 3",10037.1040850545
"16",0.5,"Model 4",9458.40007104976
"17",0.5,"Model 5",9818.97631771634
"18",0.5,"Model 6",9529.68614633346
"19",0.6,"Model 1",16468.5465198407
"20",0.6,"Model 2",16560.156547916
"21",0.6,"Model 3",10104.1323786312
"22",0.6,"Model 4",9516.08799296945
"23",0.6,"Model 5",9880.54846632398
"24",0.6,"Model 6",9522.52340192801
"25",0.7,"Model 1",16431.5714771672
"26",0.7,"Model 2",16501.9058987596
"27",0.7,"Model 3",9840.94487058176
"28",0.7,"Model 4",9167.07822085326
"29",0.7,"Model 5",9589.7544800183
"30",0.7,"Model 6",9173.58301101431
"31",0.8,"Model 1",18545.5665352898
"32",0.8,"Model 2",18565.9373931495
"33",0.8,"Model 3",11118.1887298788
"34",0.8,"Model 4",10465.4977137991
"35",0.8,"Model 5",10737.4951883783
"36",0.8,"Model 6",10170.3433374799
"37",0.9,"Model 1",18565.3130098817
"38",0.9,"Model 2",18562.1168915071
"39",0.9,"Model 3",12672.8004539306
"40",0.9,"Model 4",11957.2002733316
"41",0.9,"Model 5",12244.4269134422
"42",0.9,"Model 6",11627.3531538003
