"family","model_index","mse","bic","delta_bic"
"negbinom2",1,12778.9270077029,106795.418574024,542.618608666875
"negbinom2",2,11674.0519240651,106715.621901507,462.821936149878
"negbinom2",3,12054.178820253,106422.768794303,169.968828946032
"negbinom2",4,10661.3441902142,106252.799965357,0
"negbinom2",5,10632.862735684,106258.612677912,5.81271255455795
"negbinom2",6,10463.2227313426,106260.336757536,7.53679217885656
"poisson",1,10636.4681262805,710859.956211628,248975.876815505
"poisson",2,10658.2199675029,689915.531287052,228031.451890929
"poisson",3,5770.9337298027,483099.147322487,21215.0679263638
"poisson",4,5573.79563643125,470575.215400436,8691.13600431307
"poisson",5,5652.34939684445,470194.691537248,8310.61214112473
"poisson",6,5517.07682512183,461884.079396123,0
