"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",2046,"Region.9",482,32.4678553398272,-0.596104027155201,-0.802907210584979,5.12537822822524,0.13047900200546,0.732993454091478,5.73921362102971,310.819892624839,71.7527881305246,1346.41465744267
"2",2047,"Region.9",532,32.4387725515288,-0.609827097705931,-0.792534485624165,5.11426442702304,0.130380004592744,0.732975838192651,5.72728016841833,307.132781901918,70.9041164667883,1330.39589828322
"3",2048,"Region.9",378,31.2510650306981,-0.623369710607276,-0.781927236958402,5.03269164074021,0.126037800525681,0.732215925078092,5.61223376422912,273.75505979495,63.2947200458307,1184.01397002898
"4",2049,"Region.9",411,31.1999709015641,-0.636727858382197,-0.771088603443223,5.0196497631679,0.125864603716315,0.732186132240484,5.59775188116229,269.819139586301,62.3884159728613,1166.92124574473
"5",2050,"Region.9",364,32.5732404315426,-0.649897588139857,-0.760021792404663,5.0925663167191,0.130923848884738,0.733072771274045,5.70937181809933,301.681497889937,69.6321423110895,1307.03613515883
"6",2051,"Region.9",308,33.4597625275907,-0.66287500274534,-0.748730078690155,5.13571792133785,0.134365325889071,0.733695219132503,5.77750861594807,322.953585885412,74.4492866646919,1400.94046979917
"7",2052,"Region.9",381,33.8307495226112,-0.675656261972871,-0.737216803699459,5.14736447011158,0.135853025589451,0.733969126284221,5.79961083390108,330.171043527175,76.0714158526192,1433.0339032341
"8",2053,"Region.9",536,34.6236616557998,-0.688237583642226,-0.725485374395866,5.1842766170517,0.139084102921495,0.734574040830529,5.85886992848123,350.328024517652,80.617991710768,1522.36147487718
"9",2054,"Region.9",651,34.7684937427263,-0.700615244737904,-0.713539262298051,5.18166399958491,0.139702024986016,0.734691288611624,5.86033916942936,350.843119102917,80.7175958842982,1524.95738845225
"10",2055,"Region.9",701,34.7605520243764,-0.712785582510848,-0.70138200245278,5.16952301663274,0.139691910855171,0.734689365470185,5.84797436197418,346.531721220684,79.7259900421744,1506.21188584358
"11",2056,"Region.9",279,32.6297549761994,-0.72474499556231,-0.689017192388831,5.02855978199069,0.131231329962312,0.733127748581577,5.64695805452107,283.427980687963,65.411792610783,1228.08773510992
"12",2057,"Region.9",155,29.0905803958482,-0.736489944909559,-0.676448491052434,4.802042685542,0.118833800753349,0.731010332333341,5.32069503954544,204.525986251723,47.4024717932711,882.461978663695
"13",2058,"Region.9",105,25.7355629953982,-0.74801695503312,-0.66367961772453,4.58641051013074,0.109554459253312,0.729559328169341,5.01050711824369,149.980774854241,34.8616880252742,645.242215740405
"14",2059,"Region.9",73,25.3251605394675,-0.759322614905257,-0.650714350920158,4.54882513469338,0.108607793088167,0.729417772265042,4.96135521253122,142.78717179919,33.1989971121604,614.120250727198
"15",2060,"Region.9",161,28.2972156163293,-0.770403578999317,-0.637556527270361,4.71580367409728,0.116406986003947,0.730619750737097,5.21209632335505,183.478285135327,42.5575306062699,791.02994550254
"16",2061,"Region.9",246,30.9614748159466,-0.781256568279749,-0.624210040386847,4.86388845758021,0.125164177758079,0.732066052464168,5.4352689486571,229.354524572881,53.0448002232269,991.680574169053
"17",2062,"Region.9",264,31.4068631055945,-0.791878371172418,-0.610678839709809,4.87735917852901,0.126782161801557,0.73234442056159,5.46129221908982,235.401418115934,54.4130153480286,1018.39288443331
"18",2063,"Region.9",416,32.2667160975463,-0.802265844514959,-0.596966929339222,4.91568019970165,0.129994618835919,0.732907384805823,5.52384680787354,250.597184627954,57.8603320429391,1085.35410576027
"19",2064,"Region.9",414,32.9393912477687,-0.812415914486887,-0.583078366849975,4.94242341494539,0.132604197860741,0.733374738497929,5.56954828561772,262.315580753518,60.5094050678562,1137.16973136476
"20",2065,"Region.9",545,33.7759251584827,-0.822325577519208,-0.569017262091143,4.97884981636945,0.1359475895173,0.73398663534984,5.62955104401675,278.537038687595,64.1726927294569,1208.97033646279
"21",2066,"Region.9",527,35.2894605208145,-0.831991901183194,-0.554787775969851,5.05603672290162,0.142234212931687,0.735176988965862,5.74939449984065,314.000475375134,72.1711601294265,1366.14540155645
"22",2067,"Region.9",584,34.7236294328877,-0.841412025058158,-0.540394119219972,5.00707788583394,0.13989658835204,0.734728309791555,5.68448862757734,294.267326372919,67.6963326600794,1279.14254684183
