region,beta_0,beta_s,beta_c,sigma_00,sigma_0s,sigma_0c,sigma_ss,sigma_sc,sigma_cc,psi,var_psi,peak_T,sigma_peak_T,peak_T_CI_lower,peak_T_CI_upper,gamma,var_gamma,theta
Region 1,13.034339568891136,-4.724248327313036,-13.180635498178043,0.006716820118399164,-0.00042914405085493117,0.00024165222354525094,0.013554545712980178,-0.0002209858734924111,0.013286540405425186,0.34415917382270117,6.969944593285386e-05,202.63143496780265,0.4853164577828571,201.6802321894437,203.5826377461616,14.001702553402254,0.013457429666573813,1204653.5261573002
Region 2,15.075356570719842,-4.244480203947457,-12.392303728915984,0.0067697897578940635,-0.0004325283370829511,0.0002435579246273244,0.013661438832479934,-0.00022272859012495682,0.013391319703368019,0.32998613410383626,8.024971343400229e-05,201.80753713505848,0.5207533846903679,200.78687925623802,202.82819501387894,13.09903828192768,0.013556234737235264,488472.4158983557
Region 3,18.175269996229176,-3.3392678648787877,-11.39405247122782,0.0069399868995031885,-0.00044340239134933957,0.0002496811336108979,0.0140048966166784,-0.00022832815262773367,0.013727986868673329,0.28508797600951347,0.00010006190268044957,199.19754690841137,0.5814933261046532,198.05784093199586,200.33725288482688,11.873295313033568,0.013873136607323082,143385.96267113675
Region 4,24.067626398930802,-2.3772117936861528,-8.976312860276726,0.004322001790182588,-0.0002761368178150373,0.0001554934218680879,0.008721801607870063,-0.0001421954765382549,0.008549350899914293,0.25888842555728164,0.00010183642190594908,197.6745318555618,0.586626830090812,196.52476439621893,198.8242993149047,9.28575944538786,0.008631032772202386,10783.359581367271
Region 5,14.350842240202994,-4.471759745577306,-14.314851590029065,0.0071355364001994765,-0.00045589625006063476,0.000256716452722784,0.014399515679762111,-0.00023476177870745916,0.014114803005228448,0.30278104024415775,6.450460350740066e-05,200.22606849352513,0.4668804741721359,199.31099957906275,201.14113740798751,14.99705341947955,0.014273748593745198,3259399.1269878363
Region 6,24.521165526450037,-2.8081335895676744,-10.309369748456746,0.0052878360663482955,-0.00033784491926751954,0.00019024141432386817,0.010670855516181224,-0.00017397176172460205,0.01045986742282794,0.26593488127849113,9.411081898457881e-05,198.0841517897743,0.563936406578282,196.97885674330993,199.18944683623866,10.684976315708582,0.01056266936608044,43694.447595874764
Region 7,18.447024792759873,-4.213624954904487,-13.37908126206959,0.009841763044168228,-0.0006287996368743063,0.0003540788504191462,0.019860682225681294,-0.00032379764756252006,0.01946798957703706,0.30510740269870057,0.00010170441727699765,200.36130306722947,0.586246501686277,199.21228103786177,201.51032509659717,14.026918787732946,0.019688975331971052,1235416.58596046
Region 8,14.624048127183325,-5.012092117122864,-14.492781719814861,0.007727485992607385,-0.0004937164691349855,0.000278013127871051,0.015594070122811802,-0.0002542371447230712,0.015285738356460913,0.33295836989259586,6.683992087020263e-05,201.98031719306567,0.47525677843535213,201.04883102392384,202.9118033622075,15.33498579616965,0.015475738470634513,4569826.495471352
Region 9,22.03191020985629,-4.0856015469774905,-11.155514005585108,0.004122965452739987,-0.00026342020999894206,0.00014833265614091917,0.008320146039964428,-0.00013564708078874125,0.008155637172856438,0.3510691222392437,5.943345899237826e-05,203.03311954907042,0.44815253728024707,202.1547567164209,203.91148238171994,11.880136056858538,0.008262701282954234,144370.1919017379
Region 10,4.148147713815697,-3.7625035278799985,-14.680668014917742,0.0036148698592390486,-0.00023095748992553266,0.00013005281407373615,0.007294808987800046,-0.00011893055708783124,0.007150573280608098,0.250889533852061,3.1971318840809206e-05,197.20954553851124,0.32869313382009546,196.56531883425825,197.85377224276422,15.155145864079905,0.0072166673149424215,3817650.977494424
