coords,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
"(-179.25, 51.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018632581289778107
"(-179.25, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013450964700003486
"(-178.75, 51.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01708709403222172
"(-178.75, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05410772955600071
"(-178.25, 28.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009617299059997836,0.0
"(-178.25, 51.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010155705640000844
"(-178.25, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10683069587395183
"(-177.75, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19412610351442106
"(-177.25, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16868296026762983
"(-176.75, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38102026086492014
"(-176.75, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52448409884965e-05
"(-176.25, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16713807581171258
"(-176.25, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07265725974344117
"(-175.75, 27.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009928385340006347,0.0
"(-175.75, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03566020291261372
"(-175.75, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003344472761538545
"(-175.25, 51.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019241178039997526
"(-175.25, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047515668132274896
"(-174.75, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1480044649363018
"(-174.25, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3822283221454278
"(-173.75, 26.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005748717000001182,0.0
"(-173.75, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15603108298984994
"(-173.25, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08988895153390633
"(-173.25, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016817693784753885
"(-173.25, 60.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02392110917547022
"(-172.75, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044563071346720357
"(-172.75, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11317218267741909
"(-172.75, 60.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03410417482065548
"(-172.25, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0671788231123044
"(-172.25, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04251813695798327
"(-171.75, 25.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015010360420001415,0.0
"(-171.75, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1823337805749922
"(-171.75, 63.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25091140699811454
"(-171.25, -11.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011987823699996687,0.0
"(-171.25, 52.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019093905178954946
"(-171.25, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012063204977044158
"(-171.25, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25341308738238133
"(-171.25, 63.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22740346363972463
"(-170.75, -14.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04675736609201069,0.0
"(-170.75, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09072250140800173
"(-170.75, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21749914461173026
"(-170.75, 63.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24986937499719214
"(-170.25, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05148564140482867
"(-170.25, 57.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06730106905400542
"(-170.25, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5409405830597687
"(-170.25, 63.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28175156571983395
"(-169.75, -14.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006042447724612446,0.0
"(-169.75, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10221555934113104
"(-169.75, 53.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014469788072043759
"(-169.75, 56.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04987235769904332
"(-169.75, 62.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03512272384162345
"(-169.75, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7474644821655884
"(-169.25, -14.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013634736225386614,0.0
"(-169.25, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009443404776843477
"(-169.25, 56.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002479077604955991
"(-169.25, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38188068861651076
"(-168.75, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07328616351425879
"(-168.75, 53.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25942296284539856
"(-168.75, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1693531284145541
"(-168.75, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005034935420002157
"(-168.25, -14.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3339482000025796e-05,0.0
"(-168.25, 24.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6311877218087673e-05,0.0
"(-168.25, 25.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75372231631253e-05,0.0
"(-168.25, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015247244239999674
"(-168.25, 53.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45498508524956405
"(-168.25, 53.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047424918516270696
